Service Category Type,Organization,Program Name,Referral Process,Hours,Address,City,State,Zipcode,Phone,Website,Eligibility Requirements,Service Availability,Additional Information,Source,Service Area Zip Code
Early Childhood and Developmental Services - Childcare and preschool services,Summerdale Early Childhood Center,Child Development Services: Provides early childhood education and development programs.,Call 815-966-3280,Mon-Fri: 8:45 AM - 3:30 PM,3320 Glenwood Ave.,Rockford,IL,61101,815-966-3280,https://summerdale.rps205.com/,Eligibility based on age (typically 3-5 years) and enrollment criteria.,,,Rockford Resource Packet,61101
Senior Citizen and Disability Services - In-home carea assistance,"The ARC of Winnebago, Boone and Ogle Counties",They support individuals with intellectual and developmental disabilities (IDD) and their families,Call (815)-965-3455,Mon-Fri: 9:00 AM - 4:00 PM,2820 Mcfarland Rd.,Rockford,IL,61107,(815)-965-3455,https://thearcwbo.org/,"Services are available to individuals who have an intellectual or developmental disability, are eligible for or enrolled in Medicaid, and live in Winnebago, Boone, or Ogle County.
",,-,Rockford Resource Packet,61107
Child/Youth Education Services - Special education services and support,The Autism Program of Easter Seals,"Offers services and support for children with autism and their families, focusing on development and education.",Call (815)-395-5566,Monday–Friday: 8:30 AM–5:00 PM,1601 Parkview Ave #106,Rockford,IL,61107,(815)-395-5566,https://www.tap-illinois.org/,Comprehensive autism services including therapy and support; eligibility based on diagnosis and program criteria.,,-,Rockford Resource Packet,61107
Mental Health and Wellness Services  - Therapy/Counseling – Outpatient ,The Haven Network,The Haven Network is a Rockford-based nonprofit offering free support to families grieving the loss of a baby.,Call (815)-962-1512,Monday–Friday: 8:00 AM–5:00 PM,124 N Water St. Ste 201,Rockford,IL,61107,(815)-962-1512,https://www.thehavennetwork.org/,No restrictions. Services are available to families regardless of race or creed. Free of cost,,-,Rockford Resource Packet,61107
Adult Education Services - Literacy services,The Literacy Council,"Provides free tutoring to adults in subjects such as English, math, writing, and GED",Call (815)-968-9681,Monday–Friday: 8:00 AM–4:30 PM,982 N. Main St.,Rockford,IL,61103,(815)-968-9681,https://www.ywcanwil.org/,Eligibility based on need and availability.,-,-,Rockford Resource Packet,61103
Employment Services - Job training and placement services,The Workforce Connection,"Offers job training and career support for in-demand occupations. Services include resume help, job search assistance, and funding for eligible participants.",Call (815) 847-7574,Mon-Fri: 8:00 AM - 5:00 PM,303 N Main St. Ste. 300,Rockford,IL,61101,(815)-847-7574,theworkforceconnection.org,Eligibility based on employment status and other factors.,,-,Rockford Resource Packet,61101
Child/Youth Education Services - Childcare and preschool services,Trinity Daycare,Offers early childhood education services,Call 815-986-5437,Mon-Fri: 5:30 AM - 5:30 PM,215 N. 1st St.,Rockford,IL,61107,815-986-5437,https://www.trinitydaycare.com/,Eligibility based on age (typically infants to 12 years) and enrollment criteria.,,,Rockford Resource Packet,61107
Multi-Service Agency - Range of social services,United Way of Rock River Valley,Engages in various charitable activities and community support programs in the Rock River Valley area.,Call (815)-968-5400,"Monday–Friday, 8 a.m. – 5 p.m.",612 N Main St. Ste 300,Rockford,IL,61103,(815)-968-5400,https://www.unitedwayrrv.org/,eligibility varies by program.,,-,Rockford Resource Packet,61103
Medical Services - General Medical Care,UW Health,"Provides comprehensive medical services including primary care, specialty care, and research-based treatments.",Call (779) 696-4400,Open 24 hours,1401 E State St.,Rockford,IL,61104,(779)-696-4400,https://www.uwhealth.org/locations/swedishamerican,Healthcare services; eligibility based on insurance coverage and medical necessity.,,-,Rockford Resource Packet,61104
Multi-Service Agency - Range of medical and social services,Winnebago Co. Health Department,Offers a wide range of public health programs and services aimed at promoting community well-being.,Call (815) 720-4000,"Monday–Friday, 8am - 5:00pm",555 N Court St.,Rockford,IL,61103,(815)-720-4000,https://publichealth.wincoil.gov/,Public health services; eligibility based on residency within Winnebago County.,,-,Rockford Resource Packet,61103
Housing services - Housing assistance services ,Winnebago County Housing Authority,"Offers affordable housing programs to assist low- and moderate-income families, seniors, and individuals with disabilities.",An online application needs to be completed: https://www.wchauthority.com/apply/,Mon-Fri: 8:00 AM - 4:30 PM,3617 Delaware St.,Rockford,IL,61102,(815)-963-2133,https://www.wchauthority.com/,Complete an online Pre-Application. Eligibility based on income limits and household size,,-,Rockford Resource Packet,61102
Government and Emergency Services - Non-emergency lines,Winnebago Non-Emergency,Public safety services,Call 815-282-2600,24/7 service,650 W. State St.,Rockford,IL,61102,815-282-2600,https://winnebagosheriff.com/,Eligibility based on medical need and residency within service area.,,,Rockford Resource Packet,61102
Child/Youth Education Services - After-school programs,YMCA Children's Learning Center,Provides early childhood education programs focusing on child development and learning.,Call (815)-977-4576,Mon-Fri: 6:30 AM - 6:00 PM,2918 Glenwood Ave,Rockford,IL,61101,(815)-977-4576,https://rockriverymca.org/locations/childrens-learning-center/,"The YMCA Rockford programs serve children from 6 weeks to elementary school age, requiring enrollment, registration, and submission of basic documents like birth certificates",,-,Rockford Resource Packet,61101
Employment Services - Job training and placement services,"Youthbuild, INC.","YouthBuild is best known for its construction training, where participants build or renovate affordable housing and community facilities for low-income or homeless families",Call  (815) 963-6236,"Mon-Thur: 8:30 AM - 3:45 PM, Fri: 8:30 AM - 12:30 PM",917 South Main Street,Rockford,IL,61101,(815) 963-6236,https://youthbuild.org/,"YouthBuild serves low-income youth ages 16–24 who are out of school. Priority is given to those facing challenges like homelessness, foster care, or justice involvement. Proof of age, income, and education status is required.",,-,Rockford Resource Packet,61101
Early Childhood and Developmental Services - Childcare subsidy services,YWCA Child Care Solutions,Provides resources and assistance to families seeking child care services and offers support to child care providers.,Call 815-484-9448,Monday–Friday: 8:00 AM–4:30 PM,4990 E. State St.,Rockford,IL,61108,815-484-9448,https://www.ywcanwil.org/childcare-home/child-care-assistance-program/,Eligibility based on need and residency within service area.,,,Rockford Resource Packet,61108
Legal and Immigration Services - Legal aid,Zeke Giorgi Legal Clinic,Provides free legal services to domestic violence abuse victims who qualify. The Clinic provides representation to victims of domestic violence who have been abused by a family or household member. ,"Referrals to the clinic usually come through court orders for mediation in cases like small claims, child visitation, and evictions. For other services, individuals can contact the clinic directly to check eligibility and start the intake process.","Mon-Thur: 9:00 AM - 5:00 PM, Fri: 9:00 AM - 1:00 PM","401 W State St, Suite 600",Rockford,IL,61101,(815)-962-9980,https://www.niu.edu/law/clinics/zeke-giorgi.shtml,"The Zeke Giorgi Legal Clinic prioritizes services for residents of Winnebago County, Illinois, focusing on low-income senior citizens and survivors of domestic violence, sexual assault, and stalking",,-,Rockford Resource Packet,61101
